title,artist,danceability,energy,db,valence,bpm
Oops!...I Did It Again,Britney Spears,0.751,0.834,-5.444,0.894,95.053
All The Small Things,blink-182,0.434,0.897,-4.918,0.684,148.726
Breathe,Faith Hill,0.529,0.496,-9.007,0.278,136.859
It's My Life,Bon Jovi,0.551,0.913,-4.063,0.544,119.992
Bye Bye Bye,*NSYNC,0.614,0.928,-4.806,0.879,172.656
Thong Song,Sisqo,0.706,0.888,-6.959,0.714,121.549
The Real Slim Shady,Eminem,0.949,0.661,-4.244,0.76,104.504
Rock DJ,Robbie Williams,0.708,0.772,-4.264,0.861,103.035
Say My Name,Destiny's Child,0.713,0.678,-3.525,0.734,138.009
Lady - Hear Me Tonight,Modjo,0.72,0.808,-5.627,0.869,126.041
L'Amour Toujours,Gigi D'Agostino,0.617,0.728,-7.932,0.808,139.066
Move Your Body - Gabry Ponte Original Radio Edit,Eiffel 65,0.745,0.958,-9.664,0.96,129.962
Freestyler,Bomfunk MC's,0.822,0.922,-5.798,0.568,163.826
Desert Rose,Sting,0.586,0.659,-7.92,0.147,111.989
Never Be The Same Again,Melanie C,0.689,0.685,-5.153,0.398,160.067
Try Again,Aaliyah,0.797,0.622,-5.642,0.731,93.02
I'm Outta Love - Radio Edit,Anastacia,0.761,0.716,-5.8,0.649,119.41
Better Off Alone,Alice Deejay,0.671,0.88,-6.149,0.782,136.953
The Riddle,Gigi D'Agostino,0.74,0.876,-6.87,0.825,127.002
The Next Episode,Dr. Dre,0.922,0.909,-2.429,0.309,95.295
In the End,Linkin Park,0.556,0.864,-5.87,0.4,105.143
Sexbomb,Tom Jones,0.801,0.876,-3.94,0.932,122.979
It Feels So Good,Sonique,0.634,0.677,-7.278,0.558,135.012
Cold as Ice,M.O.P.,0.656,0.88,-5.425,0.758,85.565
I Turn To You,Melanie C,0.522,0.803,-5.825,0.0783,135.205
Take A Look Around,Limp Bizkit,0.425,0.852,-5.607,0.512,101.968
Sandstorm,Darude,0.528,0.965,-7.984,0.587,136.065
What'chu Like (feat. Tyrese),Da Brat,0.879,0.681,-8.951,0.817,99.974
The Time Is Now,Moloko,0.682,0.743,-10.644,0.546,127.962
Don't Give Up,Chicane,0.644,0.72,-9.635,0.53,132.017
Party Up,DMX,0.51,0.931,-3.302,0.53,201.936
Dance with Me,Debelah Morgan,0.85,0.674,-7.981,0.74,115.005
Music,Madonna,0.736,0.802,-8.527,0.871,119.854
No More,Ruff Endz,0.839,0.641,-5.669,0.927,97.004
Born to Make You Happy,Britney Spears,0.633,0.922,-4.842,0.686,84.11
Get It On Tonite,Montell Jordan,0.813,0.491,-9.923,0.868,99.008
Spinning Around,Kylie Minogue,0.761,0.662,-7.645,0.631,120.043
Big Pimpin',JAY-Z,0.88,0.814,-6.307,0.942,138.083
I Need You,LeAnn Rimes,0.478,0.736,-7.124,0.564,144.705
Separated,Avant,0.798,0.48,-5.564,0.643,108.241
Be With You,Enrique Iglesias,0.683,0.866,-5.436,0.542,121.996
He Wasn't Man Enough,Toni Braxton,0.739,0.947,-1.916,0.766,88.009
Bounce With Me (feat. Xscape) - Edited Album Version,Bow Wow,0.852,0.75,-5.153,0.934,72.016
Forgot About Dre,Dr. Dre,0.924,0.74,-1.299,0.621,133.974
Hot Boyz,Missy Elliott,0.727,0.445,-11.241,0.527,81.125
Show Me the Meaning of Being Lonely,Backstreet Boys,0.63,0.625,-5.088,0.683,167.998
Gotta Tell You,Samantha Mumba,0.729,0.632,-8.75,0.774,109.981
Case Of The Ex (Whatcha Gonna Do),Mýa,0.772,0.688,-4.715,0.348,98.0
Shackles (Praise You),Mary Mary,0.779,0.834,-2.773,0.8,100.46
Wifey,Next,0.829,0.652,-8.693,0.726,99.581
Doesn't Really Matter,Janet Jackson,0.771,0.796,-3.081,0.801,99.316
She Bangs - English Version,Ricky Martin,0.63,0.95,-4.012,0.858,143.866
He Can't Love U,Jagged Edge,0.721,0.836,-3.972,0.508,126.279
Incomplete,Sisqo,0.746,0.443,-7.693,0.272,119.311
I Just Wanna Love U (Give It 2 Me),JAY-Z,0.8,0.922,-5.125,0.801,98.631
Thank God I Found You (feat. Joe & 98°),Mariah Carey,0.348,0.532,-5.882,0.148,129.297
Who Let The Dogs Out,Baha Men,0.869,0.887,-4.505,0.784,129.221
"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",Donell Jones,0.854,0.543,-6.166,0.868,103.032
Can't Fight The Moonlight,LeAnn Rimes,0.628,0.834,-6.341,0.626,97.865
Go Let It Out,Oasis,0.408,0.849,-5.631,0.628,84.192
Hey Baby (Radio Mix),DJ Ötzi,0.666,0.968,-3.196,0.834,135.099
Most Girls,P!nk,0.742,0.732,-6.046,0.694,97.922
Against All Odds (Take A Look at Me Now) (feat. Westlife),Mariah Carey,0.471,0.514,-5.599,0.373,117.338
Fill Me In,Craig David,0.682,0.744,-6.981,0.827,132.493
I Turn to You,Christina Aguilera,0.599,0.47,-8.356,0.298,127.177
American Pie,Madonna,0.631,0.734,-7.48,0.591,124.036
Otherside,Red Hot Chili Peppers,0.458,0.795,-3.265,0.513,123.229
I Like It,Sammie,0.826,0.656,-8.529,0.852,129.963
7 Days,Craig David,0.659,0.812,-7.499,0.888,83.014
Maria Maria (feat. The Product G&B),Santana,0.777,0.601,-5.931,0.68,97.911
Don't Think I'm Not,Kandi,0.859,0.622,-8.196,0.433,134.007
There You Go,P!nk,0.822,0.847,-6.729,0.668,107.908
Shalala Lala,Vengaboys,0.751,0.901,-5.802,0.973,124.017
Life Is A Rollercoaster,Ronan Keating,0.655,0.791,-8.923,0.862,118.981
Don't Call Me Baby,Madison Avenue,0.808,0.982,-6.588,0.961,124.999
"Jumpin', Jumpin'",Destiny's Child,0.771,0.685,-4.639,0.683,88.997
That's the Way It Is,Céline Dion,0.634,0.886,-5.424,0.577,93.04
Kryptonite,3 Doors Down,0.545,0.865,-5.708,0.543,99.009
I Wish,Carl Thomas,0.736,0.666,-4.929,0.224,89.824
Shake Ya Ass,Mystikal,0.914,0.607,-5.658,0.666,98.054
Hemorrhage (In My Hands),Fuel,0.313,0.831,-3.894,0.332,152.034
Where I Wanna Be,Donell Jones,0.664,0.396,-9.131,0.453,102.053
Crash and Burn,Savage Garden,0.581,0.607,-8.458,0.213,102.03
My Love,Westlife,0.491,0.593,-5.975,0.328,144.142
Pure Shores,All Saints,0.631,0.664,-9.197,0.407,100.618
"Independent Women, Pt. 1",Destiny's Child,0.73,0.602,-3.782,0.927,97.954
It's Gonna Be Me,*NSYNC,0.644,0.874,-4.666,0.882,165.09
Bag Lady,Erykah Badu,0.724,0.416,-8.964,0.578,151.181
You Sang To Me,Marc Anthony,0.578,0.894,-5.42,0.741,165.98
Bent,Matchbox Twenty,0.518,0.83,-6.814,0.527,95.468
Rise,Gabrielle,0.558,0.481,-9.487,0.631,144.673
Shape of My Heart,Backstreet Boys,0.575,0.786,-4.353,0.518,96.102
With Arms Wide Open,Creed,0.41,0.539,-8.412,0.141,138.852
Breathless,The Corrs,0.607,0.82,-7.754,0.768,126.988
I Wanna Know,Joe,0.725,0.487,-5.959,0.599,136.086
Teenage Dirtbag,Wheatus,0.625,0.85,-3.904,0.633,94.661
Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera,0.829,0.915,-3.205,0.779,118.903
Higher,Creed,0.459,0.83,-6.254,0.431,155.827
Lucky,Britney Spears,0.765,0.791,-5.707,0.966,95.026
Country Grammar (Hot Shit),Nelly,0.865,0.664,-6.822,0.565,162.831
It Wasn't Me,Shaggy,0.853,0.606,-4.596,0.654,94.759
Survivor,Destiny's Child,0.514,0.911,-2.027,0.619,161.109
Stan,Eminem,0.78,0.768,-4.325,0.507,80.063
Can't Get You out of My Head,Kylie Minogue,0.766,0.563,-7.516,0.964,126.007
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",Christina Aguilera,0.76,0.801,-3.769,0.653,109.919
I'm Like A Bird,Nelly Furtado,0.622,0.608,-5.085,0.607,89.661
"Whenever, Wherever",Shakira,0.794,0.832,-4.862,0.871,107.657
The Middle,Jimmy Eat World,0.643,0.849,-5.428,0.903,162.152
Drops of Jupiter (Tell Me),Train,0.481,0.638,-5.862,0.497,79.064
It's Raining Men,Geri Halliwell,0.637,0.929,-6.03,0.604,136.482
Hit 'Em Up Style (Oops!),Blu Cantrell,0.667,0.773,-4.983,0.667,89.976
I'm a Slave 4 U,Britney Spears,0.847,0.843,-3.579,0.963,110.027
In Your Eyes,Kylie Minogue,0.689,0.894,-6.342,0.709,123.971
One Minute Man (feat. Ludacris),Missy Elliott,0.622,0.669,-8.419,0.57,93.839
Family Affair,Mary J. Blige,0.911,0.551,-3.75,0.969,92.887
We Come 1 - Radio Edit,Faithless,0.645,0.903,-10.587,0.61,135.977
Rollin' (Air Raid Vehicle),Limp Bizkit,0.603,0.933,-3.358,0.709,96.306
Something,Lasgo,0.643,0.981,-6.644,0.38,140.01
Rapture (feat.Nadia Ali),iio,0.661,0.855,-8.403,0.601,123.943
What Took You So Long?,Emma Bunton,0.668,0.772,-5.4,0.911,118.011
It's Over Now,112,0.66,0.71,-4.541,0.233,97.988
All Rise,Blue,0.721,0.737,-2.734,0.931,97.996
Irresistible,Jessica Simpson,0.657,0.965,-2.771,0.669,93.013
Butterfly,Crazy Town,0.736,0.811,-4.17,0.609,103.502
You Rock My World,Michael Jackson,0.854,0.673,-3.132,0.955,95.0
Let Me Blow Ya Mind,Eve,0.908,0.557,-4.243,0.897,90.032
Ain't It Funny,Jennifer Lopez,0.707,0.869,-4.525,0.621,99.825
Another Day in Paradise - R&B-Version,Brandy,0.7,0.787,-5.176,0.556,102.043
How You Remind Me,Nickelback,0.446,0.764,-5.042,0.543,172.094
One More Time,Daft Punk,0.613,0.697,-8.618,0.476,122.746
Ms. Jackson,Outkast,0.843,0.806,-5.946,0.613,94.948
Everytime You Need Me - Radio Version,Fragma,0.682,0.917,-5.459,0.79,137.029
Loverboy,Mariah Carey,0.721,0.79,-4.125,0.821,103.141
Thank You,Dido,0.725,0.583,-9.942,0.762,79.984
Stutter (feat. Mystikal) - Double Take Remix,Joe,0.767,0.759,-6.516,0.677,89.989
Youth of the Nation,P.O.D.,0.563,0.86,-7.533,0.517,97.867
Play,Jennifer Lopez,0.775,0.729,-4.229,0.895,104.719
Get Ur Freak On,Missy Elliott,0.797,0.75,-9.369,0.74,177.87
Nobody Wants to Be Lonely (with Christina Aguilera),Ricky Martin,0.635,0.854,-5.02,0.59,100.851
AM To PM,Christina Milian,0.872,0.868,-3.036,0.822,105.005
Another Chance,Roger Sanchez,0.61,0.82,-10.029,0.45,127.993
Clint Eastwood,Gorillaz,0.663,0.694,-8.627,0.525,167.953
Until The End Of Time,2Pac,0.757,0.706,-6.665,0.375,96.976
Stranger in My House,Tamia,0.676,0.601,-4.905,0.206,119.94
No More Drama,Mary J. Blige,0.653,0.837,-6.818,0.64,97.914
Love Don't Cost a Thing,Jennifer Lopez,0.786,0.842,-5.115,0.685,97.577
Little L,Jamiroquai,0.878,0.724,-5.373,0.904,121.906
Missing You,Case,0.612,0.579,-6.417,0.716,86.31
Peaches & Cream,112,0.677,0.52,-6.255,0.768,203.862
Let's Dance - Radio Edit,Five,0.631,0.821,-7.853,0.547,118.007
Touch Me (Radio Edit) [feat. Cassandra],Rui Da Silva,0.464,0.922,-8.399,0.695,129.078
Smooth Criminal,Alien Ant Farm,0.653,0.964,-4.261,0.87,126.928
Music (feat. Marvin Gaye),Erick Sermon,0.897,0.466,-9.053,0.884,100.01
Purple Pills,D12,0.78,0.634,-5.941,0.754,125.25
Pop Ya Collar - Radio Edit,Usher,0.888,0.8,-3.944,0.866,106.957
Don't Tell Me,Madonna,0.699,0.618,-7.338,0.679,99.965
If You Come Back,Blue,0.582,0.707,-4.487,0.701,78.375
Eternal Flame - Single Version,Atomic Kitten,0.578,0.581,-6.867,0.408,83.293
