Title,Artist,Cluster
"Flowers","Miley Cyrus",2
"Cupid - Twin Ver.","FIFTY FIFTY",2
"BESO","ROSALÍA",0
"Boy's a liar Pt. 2","PinkPantheress",2
"Creepin' (with The Weeknd & 21 Savage)","Metro Boomin",0
"Daylight","David Kushner",0
"TQG","KAROL G",1
"Calm Down (with Selena Gomez)","Rema",2
"Anti-Hero","Taylor Swift",0
"Here With Me","d4vd",0
"I'm Good (Blue)","David Guetta",0
"Kill Bill","SZA",0
"Die For You - Remix","The Weeknd",0
"I Ain't Worried","OneRepublic",2
"Quevedo: Bzrp Music Sessions Vol. 52","Bizarrap",2
"Starboy","The Weeknd",1
"Until I Found You (with Em Beihold) - Em Beihold Version","Stephen Sanchez",0
"Another Love","Tom Odell",0
"As It Was","Harry Styles",1
"Blinding Lights","The Weeknd",1
"Me Porto Bonito","Bad Bunny",0
"Mockingbird","Eminem",0
"Players","Coi Leray",2
"Cruel Summer","Taylor Swift",1
"Escapism.","RAYE",0
"Ojitos Lindos","Bad Bunny",0
"Search & Rescue","Drake",1
"Sure Thing","Miguel",0
"Sweater Weather","The Neighbourhood",0
"Unholy (feat. Kim Petras)","Sam Smith",0
"All Of The Girls You Loved Before","Taylor Swift",0
"Dandelions","Ruth B.",0
"Ditto","NewJeans",0
"Efecto","Bad Bunny",0
"golden hour","JVKE",0
"Heat Waves","Glass Animals",0
"La Bachata","Manuel Turizo",2
"Last Night","Morgan Wallen",1
"lovely (with Khalid)","Billie Eilish",0
"Made You Look","Meghan Trainor",2
"Nonsense","Sabrina Carpenter",2
"Perfect","Ed Sheeran",0
"Rich Flex","Drake",1
"Tití Me Preguntó","Bad Bunny",0
"Watermelon Sugar","Harry Styles",2
"Without Me","Eminem",2
"Yandel 150","Yandel",1
"Yellow","Coldplay",1
"Call Out My Name","The Weeknd",0
"Do I Wanna Know?","Arctic Monkeys",0
"Double Fantasy (with Future)","The Weeknd",0
"Eyes Closed","Ed Sheeran",0
"Late Night Talking","Harry Styles",2
"Lavender Haze","Taylor Swift",0
"Never Felt So Alone","Labrinth",0
"Night Changes","One Direction",0
"Save Your Tears","The Weeknd",2
"Someone You Loved","Lewis Capaldi",0
"The Real Slim Shady","Eminem",2
"When I Was Your Man","Bruno Mars",0
"Blank Space","Taylor Swift",2
"Circles","Post Malone",2
"Ghost","Justin Bieber",1
"Heather","Conan Gray",0
"I Love You So","The Walters",0
"Locked out of Heaven","Bruno Mars",2
"Lover","Taylor Swift",0
"Moscow Mule","Bad Bunny",0
"One Dance","Drake",0
"One Kiss (with Dua Lipa)","Calvin Harris",2
"Pink + White","Frank Ocean",1
"Shape of You","Ed Sheeran",2
"Shivers","Ed Sheeran",2
"The Hills","The Weeknd",0
"Viva La Vida","Coldplay",1
"Why'd You Only Call Me When You're High?","Arctic Monkeys",2
"Bad Habits","Ed Sheeran",2
"Happier Than Ever","Billie Eilish",0
"Heartless","Kanye West",2
"Heaven","Niall Horan",2
"I'm Not The Only One","Sam Smith",0
"In the End","Linkin Park",0
"La Jumpa","Arcángel",0
"LET GO","Central Cee",1
"MIDDLE OF THE NIGHT","Elley Duhé",1
"Mr. Brightside","The Killers",1
"Numb","Linkin Park",0
"Photograph","Ed Sheeran",0
"Say You Won't Let Go","James Arthur",0
"Something Just Like This","The Chainsmokers",0
"Somewhere Only We Know","Keane",1
"STAY (with Justin Bieber)","The Kid LAROI",1
"Stressed Out","Twenty One Pilots",1
"Style","Taylor Swift",0
"The Nights","Avicii",2
"Thunder","Imagine Dragons",1
"traitor","Olivia Rodrigo",0
"Wake Me Up","Avicii",2
"Where Are You Now","Lost Frequencies",0
"Woman","Doja Cat",2
"7 rings","Ariana Grande",0
"A Sky Full of Stars","Coldplay",0
"Adore You","Harry Styles",2
"All of Me","John Legend",0
"Before You Go","Lewis Capaldi",0
"Beggin'","Måneskin",2
"Closer","The Chainsmokers",2
"Cold Heart - PNAU Remix","Elton John",2
"Counting Stars","OneRepublic",0
"Daddy Issues","The Neighbourhood",0
"deja vu","Olivia Rodrigo",1
"Demons","Imagine Dragons",0
"drivers license","Olivia Rodrigo",1
"everything i wanted","Billie Eilish",0
"Fair Trade (with Travis Scott)","Drake",1
"Flashing Lights","Kanye West",0
"FLOWER","JISOO",2
"Glimpse of Us","Joji",1
"God's Plan","Drake",0
"good 4 u","Olivia Rodrigo",1
"goosebumps","Travis Scott",0
"Hips Don't Lie (feat. Wyclef Jean)","Shakira",2
"HUMBLE.","Kendrick Lamar",1
"Kill Bill (feat. Doja Cat)","SZA",0
"Let Me Down Slowly","Alec Benjamin",1
"Lost","Frank Ocean",2
"Love On The Brain","Rihanna",1
"Ni**as In Paris","JAY-Z",2
"Nobody Gets Me","SZA",0
"rockstar (feat. 21 Savage)","Post Malone",1
"Running Up That Hill (A Deal With God)","Kate Bush",0
"Set Fire to the Rain","Adele",0
"Seven Nation Army","The White Stripes",0
"Shallow","Lady Gaga",0
"STAY (with Justin Bieber)","The Kid LAROI",1
"telepatía","Kali Uchis",0
"That's What I Like","Bruno Mars",2
"The Less I Know The Better","Tame Impala",2
"The Scientist","Coldplay",1
"Till I Collapse","Eminem",1
"Too Good At Goodbyes","Sam Smith",0
"Treat You Better","Shawn Mendes",2
"Una Noche en Medellín","Cris Mj",2
"Until I Found You","Stephen Sanchez",0
"What Makes You Beautiful","One Direction",2
"All The Stars (with SZA)","Kendrick Lamar",0
"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",0
"Belly Dancer","Imanbek",0
"Feel Good Inc.","Gorillaz",2
"Fix You","Coldplay",0
"happier","Olivia Rodrigo",1
"Hymn for the Weekend","Coldplay",0
"Let Me Love You","DJ Snake",0
"Levitating (feat. DaBaby)","Dua Lipa",2
"Lost in the Fire (feat. The Weeknd)","Gesaffelstein",0
"Love Yourself","Justin Bieber",0
"LOVE. FEAT. ZACARI.","Kendrick Lamar",2
"Lucid Dreams","Juice WRLD",0
"Maps","Maroon 5",2
"One Last Time","Ariana Grande",0
"Only Love Can Hurt Like This","Paloma Faith",0
"Paradise","Coldplay",1
"Passionfruit","Drake",0
"Payphone","Maroon 5",2
"Promiscuous","Nelly Furtado",2
"Redbone","Childish Gambino",1
"Riptide","Vance Joy",0
"Shake It Off","Taylor Swift",1
"Shut Up and Dance","WALK THE MOON",2
"SICKO MODE","Travis Scott",1
"Stan","Eminem",0
"Stay With Me","Sam Smith",0
"Take Me To Church","Hozier",0
"Thinking out Loud","Ed Sheeran",0
"Umbrella","Rihanna",1
"We Found Love","Rihanna",2
"when the party's over","Billie Eilish",0
"Yonaguni","Bad Bunny",1
"abcdefu","GAYLE",0
"bad guy","Billie Eilish",1
"Bad Romance","Lady Gaga",2
"Bored","Billie Eilish",0
"Bring Me To Life","Evanescence",0
"Can't Feel My Face","The Weeknd",2
"Doin' Time","Lana Del Rey",1
"Don't","Bryson Tiller",0
"EARFQUAKE","Tyler, The Creator",0
"Easy On Me","Adele",0
"Empire State Of Mind","JAY-Z",1
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)","Pitbull",2
"Godzilla (feat. Juice WRLD)","Eminem",1
"22","Taylor Swift",2
"Happier","Marshmello",2
"Hey, Soul Sister","Train",2
"HIGHEST IN THE ROOM","Travis Scott",0
"I WANNA BE YOUR SLAVE","Måneskin",2
"In Da Club","50 Cent",2
"In Ha Mood","Ice Spice",1
"Infinity","Jaymes Young",0
"Jocelyn Flores","XXXTENTACION",0
"Leave Before You Love Me (with Jonas Brothers)","Marshmello",2
"Levitating","Dua Lipa",2
"Love The Way You Lie","Eminem",2
"Maria Maria (feat. The Product G&B)","Santana",2
"Moonlight","XXXTENTACION",2
"Needed Me","Rihanna",0
"Only Girl (In The World)","Rihanna",2
"Party","Bad Bunny",0
