title;artist;topgenre;year;bpm;energy;danceability ;dB;liveness;valence;duration;acousticness;speechiness ;popularity;key;mode;instrumentalness;loudness
Flowers;Miley Cyrus;pop;2023;118;68;71;-4;3;65;200;6;7;98;11;Minor;0.9790971184142657;-30.55837945092496
Cupid - Twin Ver.;FIFTY FIFTY;k-pop girl group;2023;120;59;78;-8;35;73;174;44;3;97;5;Minor;0.9002686569068095;-52.918495906362864
BESO;ROSALÍA;pop;2023;95;64;77;-7;17;53;195;74;14;96;4;Major;0.16045127450517072;-33.68573934249108
Boy's a liar Pt. 2;PinkPantheress;bronx drill;2023;133;81;70;-8;25;86;131;25;5;96;0;Major;0.12807818095348023;-46.9908937226637
Creepin' (with The Weeknd & 21 Savage);Metro Boomin;rap;2022;98;62;72;-6;8;17;222;42;5;96;9;Minor;0.8765776886945452;-50.21708055306374
Daylight;David Kushner;gen z singer-songwriter;2023;130;43;51;-9;9;32;213;83;3;96;0;Major;0.5568670938988269;-5.521052298039528
TQG;KAROL G;reggaeton;2023;180;63;72;-4;9;61;199;67;28;96;11;Major;0.06712111874426141;-20.716146367527763
Calm Down (with Selena Gomez);Rema;afrobeats;2022;107;81;80;-5;11;80;239;38;4;95;10;Minor;0.8236905364229895;-4.091459653122861
Anti-Hero;Taylor Swift;pop;2022;97;64;64;-7;14;53;201;13;5;94;9;Minor;0.2817663297279418;-6.627616752776504
Here With Me;d4vd;bedroom pop;2022;132;47;57;-8;13;29;242;53;3;94;6;Major;0.30536830220105204;-13.080292406087125
I'm Good (Blue);David Guetta;big room;2022;128;97;56;-4;37;30;175;0;3;94;1;Minor;0.5919323450067673;-49.378835993687495
Kill Bill;SZA;pop;2022;89;74;64;-6;16;42;154;5;4;94;10;Minor;0.5103542312998133;-32.274313104574276
Die For You - Remix;The Weeknd;canadian contemporary r&b;2023;67;53;53;-6;44;50;233;23;7;93;2;Minor;0.58256550892779;-58.54494372559882
I Ain't Worried;OneRepublic;piano rock;2022;140;80;70;-6;5;83;148;8;5;93;10;Minor;0.9235931168030402;-14.395113835149566
Quevedo: Bzrp Music Sessions Vol. 52;Bizarrap;argentine hip hop;2022;128;78;62;-6;23;55;199;1;4;93;1;Major;0.6185293585517582;-23.73305509695644
Starboy;The Weeknd;canadian contemporary r&b;2016;186;59;68;-7;14;49;230;14;28;93;1;Minor;0.7872303381976119;-36.20560688496976
Until I Found You (with Em Beihold) - Em Beihold Version;Stephen Sanchez;gen z singer-songwriter;2022;101;55;55;-5;20;34;176;78;3;93;4;Major;0.9070305882404383;-43.12267423662263
Another Love;Tom Odell;chill pop;2013;123;54;45;-9;9;13;244;70;4;92;11;Major;0.8798589070876648;-42.1611989291386
As It Was;Harry Styles;pop;2022;174;73;52;-5;31;66;167;34;6;92;5;Minor;0.39196053863532443;-34.753497330790736
